subject,bases,num_bases
advertising revenue,advertis|revenu,2
advertising services,advertis|servic,2
advice (programming),advic|program,2
advisors,advisor,1
advisory committee,advisori|committe,2
advisory services,advisori|servic,2
advocacy,advocaci,1
aeolian processes,aeolian|process,2
aerated concrete,aerat|concret,2
aeration,aerat,1
aerenchyma,aerenchyma,1
aerial imagery,aerial|imageri,2
aerial patrol,aerial|patrol,2
aerial photography,aerial|photographi,2
aerial photos,aerial|photo,2
aerial survey,aerial|survey,2
aerial surveying,aerial|survey,2
aero engine,aero|engin,2
aerobic capacity,aerob|capac,2
aerobic exercise,aerob|exercis,2
aerobics,aerob,1
aerodynamics,aerodynam,1
aerogel,aerogel,1
aeromexico,aeromexico,1
aeronautical research,aeronaut|research,2
aeronautical telecommunications network,aeronaut|network|telecommun,3
aeronautics,aeronaut,1
aerosol,aerosol,1
aerosols,aerosol,1
aerospace,aerospac,1
aerospace & defense,aerospac|defens,2
aerospace engineering,aerospac|engin,2
aerospace industries,aerospac|industri,2
aerospace industries and sciences,aerospac|industri|scienc,3
aerospace industry,aerospac|industri,2
aerospace materials,aerospac|materi,2
aerospace medicine,aerospac|medicin,2
aerospace safety,aerospac|safeti,2
aesculus hippocastanum,aesculu|hippocastanum,2
aesthetic design,aesthet|design,2
aesthetic experience,aesthet|experi,2
aesthetic theory,aesthet|theori,2
aesthetic value,aesthet|valu,2
aestheticism,aesthetic,1
aesthetics,aesthet,1
aestivation,aestiv,1
aether,aether,1
affect (linguistics),affect|linguist,2
affect (psychology),affect|psycholog,2
affection,affect,1
affective computing,affect|comput,2
afferent,affer,1
affiliates,affili,1
affine transformation,affin|transform,2
affinities,affin,1
affinity credit cards,affin|card|credit,3
affinity groups,affin|group,2
affinity marketing,affin|market,2
affirmative action,action|affirm,2
affix,affix,1
affluence,affluenc,1
affluent market,affluent|market,2
affordable housing,afford|hous,2
affordance,afford,1
afforestation,afforest,1
afghan,afghan,1
afghanistan war,afghanistan|war,2
aflatoxin,aflatoxin,1
africa,africa,1
african american,african|american,2
african american english,african|american|english,3
african american literature,african|american|literatur,3
african american studies,african|american|studi,3
african americans,african|american,2
african art,african|art,2
african culture,african|cultur,2
african descent,african|descent,2
african elephant,african|eleph,2
african history,african|histori,2
african languages,african|languag,2
african music,african|music,2
african philosophy,african|philosophi,2
african studies,african|studi,2
african swine fever,african|fever|swine,3
african-american history,african|american|histori,3
afro-caribbean,afro|caribbean,2
afrofuturism,afrofutur,1
after hours trading systems,hour|system|trade,3
after school programs,program|school,2
afterlife,afterlif,1
aftermarket parts,aftermarket|part,2
aftermarkets,aftermarket,1
aftershock,aftershock,1
aftershocks,aftershock,1
against medical advice,advic|medic,2
agape,agap,1
agar gel,agar|gel,2
agarose,agaros,1
agatha,agatha,1
agave,agav,1
age,age,1
age appropriate,age|appropri,2
age changes,age|chang,2
age differences,age|differ,2
age discrimination,age|discrimin,2
age groups,age|group,2
age limit,age|limit,2
age of enlightenment,age|enlighten,2
"age, chronological",age|chronolog,2
aged,age,1
aged care,age|care,2
ageing,age,1
ageing society,age|societi,2
agency (philosophy),agenc|philosophi,2
agenesis,agenesi,1
agent orange,agent|orang,2
agent-based model,agent|base|model,3
agents,agent,1
agents (artificial intelligence),agent|artifici|intellig,3
agglomerate,agglomer,1
agglomeration,agglomer,1
aggravating circumstances,aggrav|circumst,2
aggravating factor,aggrav|factor,2
