source,year,n_nodes_active,n_edges_total,total_weight,target_edges_3N,implied_alpha,retention_rate,backbone_nodes,node_coverage,mean_degree_backbone,weight_share_retained,n_components,lcc_share,mst_added_edges,mst_added_share,n_components_with_mst,lcc_share_with_mst,union_nodes,union_node_coverage,union_edges,mean_degree_union,weight_share_union,n_edges_alpha_lt_0.05,retention_alpha_0.05,mean_degree_alpha_0.05,sens10_target_edges,sens10_implied_alpha,sens10_jaccard_vs_3N,sens10_mean_degree,jaccard_alpha_vs_topweight
paper,1990,12577,397177,187785.50192344934,37731,0.09662147528101919,0.094997948018138,6574,0.5227001669714558,11.47885609978704,0.5317112543391168,31,0.9905689078186797,6075,0.1610081895523575,2,0.9998409795658743,12577,1.0,43806,6.966049137314145,0.5423933164160468,26156,0.06585477003955416,4.159338474994037,39718,0.10462704377953386,0.9499723047484767,6.315973602607935,0.7053173939571987
paper,1991,12638,417382,202257.00244338065,37914,0.08868923266051258,0.09083764992261285,6580,0.5206520018990347,11.524012158054711,0.5328707452257466,30,0.9911854103343465,6125,0.16154982328427495,2,0.9998417471118848,12638,1.0,44039,6.9692989397056495,0.5428825804859624,28008,0.06710399585990771,4.432346890330749,41738,0.10366950695255528,0.9083808519814078,6.605159044152556,0.7056865215044088
paper,1992,12969,445759,221405.00439798832,38907,0.080254995932766,0.08728258991966512,6615,0.5100624566273422,11.763265306122449,0.5336139419137627,21,0.9938019652305367,6412,0.16480324877271443,2,0.999845786105328,12969,1.0,45319,6.988819492636287,0.5432456046465892,30246,0.06785280835608479,4.664353458246588,44576,0.10130130561682146,0.8728239411342427,6.874238568895057,0.7007409350206544
paper,1993,13063,461878,231320.50432311743,39189,0.07607352616933717,0.08484708083086875,6679,0.511291433820715,11.734990268004193,0.5319169136134724,24,0.9931127414283576,6439,0.1643063104442573,1,1.0,13063,1.0,45628,6.9858378626655435,0.5413453948205834,31482,0.06816085633002654,4.820026027711858,46188,0.10069132363702922,0.8484671343206027,7.0715762076092785,0.7022413343758145
paper,1994,13190,483446,245563.50509994477,39570,0.0700769068608189,0.0818498860265676,6704,0.5082638362395754,11.80489260143198,0.5289411039006839,27,0.9922434367541766,6530,0.16502400808693454,1,1.0,13190,1.0,46100,6.990144048521607,0.5381114907843118,33148,0.06856608597444182,5.0262319939347995,48345,0.09932564012760488,0.8184920881166615,7.330553449583017,0.6979189015232783
paper,1995,13602,503169,256260.84036216885,40806,0.06934648042075775,0.08109800087048288,6843,0.5030877812086458,11.926348092941693,0.5282248870780978,25,0.9928393979248867,6803,0.1667156790668039,2,0.9998529627995882,13602,1.0,47609,7.0002940744008235,0.5374691544147403,34499,0.06856344488631057,5.0726363770033815,50317,0.10004255319842832,0.810978396963253,7.398470813115718,0.7009232821325108
paper,1996,13756,535010,279764.5097577721,41268,0.06196376425372762,0.07713500682230238,6891,0.5009450421634196,11.977361776229865,0.5257151079964575,23,0.9933246263241909,6918,0.16763594068043036,1,1.0,13756,1.0,48186,7.005815644082582,0.5345740044373959,36954,0.06907160613820303,5.3727827856935155,53501,0.0983823550173138,0.7713500682230239,7.778569351555685,0.6849583537481627
paper,1997,13975,548740,290755.010535609,41925,0.060667336447105105,0.07640230345883296,7058,0.5050447227191414,11.880136015868517,0.5285084038465608,26,0.9929158401813545,6961,0.1660345855694693,2,0.9998568872987478,13975,1.0,48886,6.996207513416816,0.5370605064170639,38141,0.06950650581331778,5.458461538461538,54874,0.09871856608399375,0.7640230345883297,7.853166368515206,0.6820123969428898
paper,1998,14068,572290,308619.0121791549,42204,0.055816858147235644,0.07374582816404271,7059,0.5017770827409724,11.957501062473439,0.5244568210434635,32,0.991075223119422,7051,0.16706947208795375,1,1.0,14068,1.0,49255,7.0024168325277225,0.5329096516323876,40007,0.06990686540040889,5.687659937446687,57229,0.09756265324030887,0.737458281640427,8.136053454648849,0.6832784923721209
paper,1999,14445,616663,339775.01815412194,43335,0.049249505714826086,0.0702733908147562,7162,0.4958116995500173,12.101368332867914,0.5256379962913843,24,0.9935772130689752,7332,0.16919349255797855,1,1.0,14445,1.0,50667,7.015160955347871,0.5337293128429805,43632,0.07075501530009097,6.041121495327102,61666,0.09733355633666102,0.7027373268900204,8.5380408445829,0.6751063007344414
paper,2000,14976,683010,391439.5287887305,44928,0.041864321419827384,0.06577941757807353,7482,0.499599358974359,12.00962309542903,0.5223188540468067,24,0.9935846030473136,7532,0.1676460113960114,1,1.0,14976,1.0,52460,7.005876068376068,0.5300105096696343,48677,0.07126835624661425,6.500667735042735,68301,0.09507010887994767,0.6577941757807353,9.12139423076923,0.675199015641604
paper,2001,15232,725914,423068.036860317,45696,0.037199328162419734,0.06294960560066344,7587,0.49809611344537813,12.045867931988928,0.5199284492216385,30,0.9916963226571768,7683,0.16813287815126052,1,1.0,15232,1.0,53379,7.008797268907563,0.5272589785207819,52307,0.07205674501387217,6.8680409663865545,72591,0.09373056623059176,0.6294995247344712,9.531381302521009,0.6708166511270772
paper,2002,15807,1036428,875598.7932782248,47421,0.010784681295764802,0.045754263682571295,7040,0.4453723034098817,13.471875,0.5640277402706203,17,0.9951704545454545,8791,0.18538200375361127,2,0.9998734737774404,15807,1.0,56212,7.112292022521667,0.5691543046900415,81790,0.07891527438471366,10.348579743151769,103643,0.08294042090272523,0.4575417539052324,13.113557284747264,0.6206766917293233
paper,2003,16038,977012,720683.4184014052,48114,0.01578621605951696,0.04924606862556448,7412,0.462152388078314,12.982730706961684,0.5415930171246919,32,0.9912304371289801,8660,0.17998919233487135,1,1.0,16038,1.0,56774,7.079935154009228,0.547384796809434,74594,0.07634911341928247,9.30215737623145,97701,0.08677680285482318,0.4924616943531796,12.183688739244294,0.6448106112402571
paper,2004,16199,1000118,733598.0654282868,48597,0.015228630484364035,0.04859126623058479,7580,0.46793011914315696,12.822427440633245,0.5348095353096685,21,0.9944591029023747,8648,0.17795337160730088,1,1.0,16199,1.0,57245,7.067720229643805,0.540652597758794,76334,0.07632499365074921,9.424532378541885,100012,0.08712290295526559,0.48591169059712835,12.347922711278475,0.6459331764068348
paper,2005,16454,1106128,867225.7839096561,49362,0.01073911894115488,0.044625938408574775,7567,0.4598881730886107,13.046649927315977,0.5399827149454387,23,0.9940531254129774,8910,0.18050322110125197,1,1.0,16454,1.0,58272,7.083019326607512,0.5453390524756497,85800,0.07756787641213314,10.429074996961225,110613,0.08517764592302077,0.44625857720159473,13.44511972772578,0.6336107755696391
paper,2006,16760,1196934,989409.1809412539,50280,0.00823327018402707,0.0420073287248921,7648,0.45632458233890216,13.148535564853557,0.5419925459320106,31,0.9920240585774058,9148,0.18194112967382658,1,1.0,16760,1.0,59428,7.09164677804296,0.5470608119415529,93584,0.0781864330029893,11.167541766109785,119693,0.08403895940911331,0.42007469108469164,14.283174224343675,0.6275004855311711
paper,2007,17037,1247658,1030526.2158466801,51111,0.007506971407889383,0.040965553060213614,7768,0.45594881728003755,13.159371781668384,0.5380953149517024,20,0.9948506694129763,9292,0.18180039521825048,1,1.0,17037,1.0,60403,7.090802371309503,0.5431621633033602,98031,0.07857201252266247,11.508011973939073,124766,0.08336283897378739,0.4096548739239857,14.646475318424605,0.6290098962566334
paper,2008,17195,1318355,1118607.151160024,51585,0.006040771701513761,0.03912830762579123,7793,0.4532131433556266,13.238804054921083,0.53814649924192,19,0.9952521493648145,9424,0.18268876611418047,1,1.0,17195,1.0,61009,7.096132596685083,0.5431013205280095,104150,0.07899996586655339,12.11398662401861,131836,0.08323779517253062,0.3912815922813192,15.334225065425995,0.6250570983035897
paper,2009,17403,1400850,1232195.103352882,52209,0.004735698926110828,0.03726951493735946,7872,0.45233580417169456,13.264481707317072,0.5386918444257778,18,0.9955538617886179,9552,0.1829569614434293,1,1.0,17403,1.0,61761,7.097741768660576,0.5434410577264425,111199,0.07937966234786023,12.779290926851692,140085,0.08258456186405665,0.3726951493735946,16.098948457162557,0.6222287818291982
paper,2010,17459,1484038,1346272.0540317036,52377,0.0035803706408775835,0.03529357064980816,7934,0.45443610745174406,13.203176203680362,0.5355120584198376,24,0.9938240483992942,9549,0.18231284724211008,1,1.0,17459,1.0,61926,7.093877083452661,0.540050464659963,118765,0.0800282742086119,13.605017469499971,148404,0.0809513013421934,0.3529352308563112,17.00028638524543,0.6189725519287834
paper,2011,17582,1535049,1420211.6150185093,52746,0.0030914487200703017,0.03436111811414489,8051,0.45791150039813444,13.102968575332257,0.5352474938803153,22,0.9946590485653956,9554,0.1811322185568574,1,1.0,17582,1.0,62300,7.086793311341144,0.5396707715419014,123318,0.08033489484700489,14.027755659196906,153505,0.08119700957275197,0.3436109572978079,17.461608463201,0.6159678926487033
paper,2012,17741,1567152,1451497.0002561845,53223,0.002938363697910225,0.033961606787344174,8100,0.4565695282114875,13.141481481481481,0.5337014152195092,27,0.9933333333333333,9667,0.18163200120248765,1,1.0,17741,1.0,62890,7.089792007214926,0.5381087576822038,125661,0.08018430886091457,14.166168761625613,156715,0.0813939541489812,0.33961650129215454,17.66698607744772,0.615486181724363
paper,2013,17783,1594067,1496841.5530847907,53349,0.002703373227027637,0.03346722565613616,8041,0.45217342405668337,13.269245118766323,0.5327012108298725,23,0.9942793184927248,9766,0.18305872649909088,1,1.0,17783,1.0,63115,7.098352358994545,0.5370823900125345,128318,0.08049724384232282,14.43153573637744,159407,0.0806225028556032,0.3346716267165181,17.92802114378901,0.6182546182546182
paper,2014,17745,1613707,1523420.596203331,53235,0.0025233350582896247,0.03298926013210576,8053,0.4538179768949,13.22115981621756,0.5313563749489616,25,0.9939153110641997,9717,0.18253029022259792,1,1.0,17745,1.0,62952,7.095181741335588,0.5356486507604061,130298,0.08074452177501863,14.68560157790927,161371,0.08029006219207344,0.3298919880275886,18.18777120315582,0.615458145568756
paper,2015,17750,1610370,1514319.5473738872,53250,0.0026328251676245576,0.033066934927997914,8048,0.45340845070422536,13.233101391650099,0.5290050571406538,27,0.9934145129224652,9731,0.1827417840375587,1,1.0,17750,1.0,62981,7.096450704225352,0.5333678821024542,130156,0.08082366164297645,14.665464788732395,161037,0.08011370945618955,0.33066934927997915,18.145014084507043,0.6166982922201139
paper,2016,17737,1600028,1524510.5463199168,53211,0.002703554171628048,0.03325629301487224,7989,0.4504143880024807,13.321066466391288,0.530870041457637,24,0.9939917386406308,9773,0.18366503166638476,1,1.0,17737,1.0,62984,7.1019901899983084,0.5351996282521837,129363,0.08085046011694795,14.586795963240684,160003,0.07951483452359351,0.332562514452854,18.041720696848397,0.6112583082257113
paper,2017,17737,1645225,1601385.4852181152,53211,0.0022813216771739027,0.03234268868999681,7890,0.4448328353160061,13.488212927756654,0.5321726842628359,33,0.9918884664131813,9882,0.18571348029542764,1,1.0,17737,1.0,63093,7.114280881772566,0.5364732875706839,133946,0.08141500402680485,15.10356881096014,164522,0.07909572431306315,0.32342786982895905,18.551276991599483,0.6100638445943901
paper,2018,17910,1738014,1812724.4558068514,53730,0.0016194339470126525,0.030914595624661253,7920,0.44221105527638194,13.568181818181818,0.5371045912603719,28,0.9928030303030303,10021,0.1865066071096222,1,1.0,17910,1.0,63751,7.119039642657733,0.5411150654340446,143076,0.08232154631665797,15.977219430485762,173801,0.0775710026960513,0.30914666774069194,19.40826353992183,0.6018961584902285
paper,2019,18025,1825254,2024902.2827149704,54075,0.0012187544298202185,0.029626013694532376,7846,0.4352843273231623,13.784093805760897,0.5419528963826629,26,0.9934998725465205,10205,0.18871937124364307,1,1.0,18025,1.0,64280,7.132316227461859,0.5457355433362351,151877,0.08320869314626896,16.851816920943133,182525,0.07576043289336787,0.2962607861936721,20.25242718446602,0.5902307047596642
paper,2020,18200,1921194,2239789.1733836792,54600,0.0008977475018660181,0.028419826420444785,7816,0.42945054945054945,13.971340839303991,0.5438949414397273,23,0.994114636642784,10407,0.1906043956043956,1,1.0,18200,1.0,65007,7.143626373626374,0.5475179194956649,161758,0.08419659857359538,17.775604395604397,192119,0.074581085520057,0.28419885591742616,21.11197802197802,0.5919759745750357
paper,2021,18068,1983419,2429688.2684153095,54204,0.0006524246931584774,0.027328567488765613,7647,0.42323444764224044,14.176539819537073,0.5475580659082248,25,0.9931999476919053,10449,0.19277175116227585,1,1.0,18068,1.0,64653,7.156630506973655,0.5510363633227191,168704,0.0850571664383572,18.674341377020145,198342,0.07297652872546037,0.2732855371025804,21.955058667257028,0.5842174484875055
paper,2022,18044,1954223,2368616.1828272194,54132,0.0007012509117373125,0.027700011718212302,7564,0.41919751718022613,14.313061872025383,0.5539586894488702,28,0.9928609201480698,10510,0.19415502844897659,2,0.9998891598315229,18044,1.0,64642,7.164930170693859,0.5573927896707883,165222,0.08454613419246422,18.313234316116162,195422,0.07432926027147743,0.27700054241589994,21.660607404123255,0.5853565675794407
paper,2023,18111,2009483,2590714.2862744927,54333,0.0005720090564364915,0.027038297910457566,7651,0.42245044448125446,14.202849300745001,0.5569924303009088,32,0.9916350803816495,10491,0.19308707415382917,2,0.9998895698746618,18111,1.0,64824,7.158522444922975,0.5602791339035852,171535,0.08536275250897868,18.94263154988681,200948,0.07299274145793264,0.2703833827656906,22.19071282645906,0.5794706318405791
