source,K,anchor,anchor_name,year,pp,rank,rank_norm
news,8,5,medical imaging - software,2012,715.8089196475369,160.3132857142857,0.02794374859931771
news,8,5,medical imaging - software,2013,748.5936616610322,163.56257142857143,0.027750690775122402
news,8,5,medical imaging - software,2014,738.9338726526256,159.21457142857142,0.026912537428764607
news,8,5,medical imaging - software,2015,744.4349703897984,163.60685714285714,0.027524706787156315
news,8,5,medical imaging - software,2016,728.4584672804689,148.2835714285714,0.023366462563594616
news,8,5,medical imaging - software,2017,748.4229040365029,144.304,0.01994526606772633
news,8,5,medical imaging - software,2018,718.4041199137799,140.14228571428572,0.01983894191878337
news,8,5,medical imaging - software,2019,713.4182489793809,129.68471428571428,0.017337528647822766
news,8,5,medical imaging - software,2020,684.3987365484251,135.11585714285712,0.018899966029214878
news,8,5,medical imaging - software,2021,712.6933940178458,133.66071428571428,0.01912170447578173
news,8,5,medical imaging - software,2022,731.4980257453683,150.72,0.021602407911709903
news,8,5,medical imaging - software,2023,749.2757472103551,142.64658634538154,0.01886859607743142
news,8,7,project management - software,1990,1594.0232606651502,486.78738095238094,0.2153926464391066
news,8,7,project management - software,1991,,,
news,8,7,project management - software,1992,1247.0221798583539,429.21859410430835,0.1861312203401164
news,8,7,project management - software,1993,1119.0400567282977,368.29049066435084,0.15658609296953693
news,8,7,project management - software,1994,1103.7765960510274,332.8903909389843,0.131317708457193
news,8,7,project management - software,1995,884.5056283009882,265.70997846374735,0.10645431829477055
news,8,7,project management - software,1996,839.0674020499528,272.76450892857144,0.10849821357540629
news,8,7,project management - software,1997,854.8184757086403,291.8238795518207,0.11198153474743695
news,8,7,project management - software,1998,918.7982779422892,287.06020408163266,0.06602120609053189
news,8,7,project management - software,1999,785.520395908489,224.6066336921734,0.04884876765814994
news,8,7,project management - software,2000,732.6829410553055,198.94848484848484,0.04262877326944179
news,8,7,project management - software,2001,666.8015189119246,178.94736087205965,0.0388931451580221
news,8,7,project management - software,2002,678.7461079944435,172.48371428571429,0.03664408631521442
news,8,7,project management - software,2003,709.5762803393753,167.67385714285712,0.03486667854914891
news,8,7,project management - software,2004,668.6409252771917,165.75,0.0326151121605667
news,8,7,project management - software,2005,640.2748799975408,152.049,0.02906690881284649
news,8,7,project management - software,2006,668.3311043649875,149.45614285714288,0.028429930161145683
news,8,7,project management - software,2007,691.8122811851263,153.72242857142857,0.02566746177515922
news,8,7,project management - software,2008,682.4829321643707,143.3315714285714,0.023166570458796096
news,8,7,project management - software,2009,671.5717403797215,140.8672857142857,0.023462239459408014
news,8,7,project management - software,2010,702.8014299316687,143.462,0.02554068007833363
news,8,7,project management - software,2011,655.1959901450949,136.946,0.024697204688908927
news,8,7,project management - software,2012,647.8259422940152,134.95614285714288,0.023523817824149005
news,8,7,project management - software,2013,697.0329352354049,140.85114285714286,0.02389737747830724
news,8,7,project management - software,2014,675.1819018774702,132.9367142857143,0.02247070897324447
news,8,7,project management - software,2015,672.788843667122,133.91542857142858,0.022529513555085562
news,8,7,project management - software,2016,679.5516133746555,130.86371428571428,0.02062144883165999
news,8,7,project management - software,2017,716.7729136740161,135.72542857142858,0.018759561654654953
news,8,7,project management - software,2018,711.9247257729749,138.6807142857143,0.01963203769616567
news,8,7,project management - software,2019,700.5848148010642,128.93057142857143,0.01723670741023682
news,8,7,project management - software,2020,663.152638583986,130.378,0.01823723597705973
news,8,7,project management - software,2021,687.9334577033153,126.88842857142856,0.018152851011649297
news,8,7,project management - software,2022,700.3787407926202,137.1024285714286,0.019650627572227113
news,8,7,project management - software,2023,701.4908953014095,127.26756678281068,0.016834334230530514
news,8,8,software - systems design,1990,1274.220508844521,364.7730249693,0.1614039933492478
news,8,8,software - systems design,1991,,,
news,8,8,software - systems design,1992,1142.010425555896,291.2267665130568,0.1262908788001114
news,8,8,software - systems design,1993,1033.1944029903755,242.5577971646674,0.10312831512103206
news,8,8,software - systems design,1994,1021.2814514517969,216.02992277992277,0.08521890444967369
news,8,8,software - systems design,1995,727.2625370333055,180.71653796653797,0.07240245912120911
news,8,8,software - systems design,1996,728.12262501344,190.77024358130348,0.07588315178253917
news,8,8,software - systems design,1997,754.6049268525267,233.4206525182135,0.08957047295403434
news,8,8,software - systems design,1998,856.6430422842903,258.409,0.05943169273229071
news,8,8,software - systems design,1999,794.8937892745748,240.92871428571428,0.05239858944882868
news,8,8,software - systems design,2000,715.3214164460334,189.44485714285713,0.04059242707153571
news,8,8,software - systems design,2001,725.6069157249717,210.12785714285712,0.045670040674387555
news,8,8,software - systems design,2002,748.7321924292175,223.7725714285714,0.04754038058818173
news,8,8,software - systems design,2003,746.9144079504916,180.5825714285714,0.03755096099575202
news,8,8,software - systems design,2004,732.4158349165084,215.2002857142857,0.042345589475459605
news,8,8,software - systems design,2005,749.7134636615025,217.58228571428572,0.04159477838162602
news,8,8,software - systems design,2006,723.1768891743883,168.0372857142857,0.03196448273050898
news,8,8,software - systems design,2007,757.4935150565232,175.75885714285712,0.029346945590725856
news,8,8,software - systems design,2008,752.8276323800519,170.611,0.02757572329077097
news,8,8,software - systems design,2009,751.719698996266,171.6417142857143,0.02858789378509565
news,8,8,software - systems design,2010,777.3452637764241,187.422,0.033366921844400925
news,8,8,software - systems design,2011,708.4551498840866,157.45314285714286,0.02839551719695994
news,8,8,software - systems design,2012,738.1045983541351,189.676,0.03306187903085236
news,8,8,software - systems design,2013,771.8958019560441,194.04814285714286,0.03292299675214504
news,8,8,software - systems design,2014,743.6798273196432,170.97885714285712,0.028901091471071186
news,8,8,software - systems design,2015,783.1154656153371,213.50657142857142,0.035919678907902326
news,8,8,software - systems design,2016,754.3682257592579,172.31114285714287,0.02715271712214668
news,8,8,software - systems design,2017,829.2399628610469,200.44442857142857,0.02770482772238128
news,8,8,software - systems design,2018,765.2163746342916,163.74614285714287,0.023180371299142532
news,8,8,software - systems design,2019,770.5331772647147,156.68121958202119,0.020946687109895883
news,8,8,software - systems design,2020,755.4109926393147,181.82085714285714,0.02543304757908199
news,8,8,software - systems design,2021,761.7821253589303,162.14085714285713,0.0231961169016963
news,8,8,software - systems design,2022,750.9147016263926,167.18780417978815,0.023962706633193085
news,8,8,software - systems design,2023,771.9742667686077,157.95763447079239,0.020893866993491054
news,8,9,software - usability,1990,,,
news,8,9,software - usability,1991,,,
news,8,9,software - usability,1992,1038.1174867303962,294.9103547459252,0.12788827178921303
news,8,9,software - usability,1993,1062.9012194542681,307.6044124071647,0.13078418894862445
news,8,9,software - usability,1994,1027.662967256816,271.13663003663004,0.10695725050754637
news,8,9,software - usability,1995,864.2129719185722,252.49703923019985,0.10116067276850955
news,8,9,software - usability,1996,756.0801539933924,221.80706921944034,0.08822874670622131
news,8,9,software - usability,1997,,,
news,8,9,software - usability,1998,805.943584706151,239.32967032967034,0.05504362243092693
news,8,9,software - usability,1999,702.2545685606854,197.21629374641424,0.04289175592570992
news,8,9,software - usability,2000,653.8185586905694,175.56695526695526,0.03761880335696492
news,8,9,software - usability,2001,612.647716708703,164.1237142857143,0.03567131368957059
news,8,9,software - usability,2002,617.7394838421591,156.198,0.03318419375398343
news,8,9,software - usability,2003,628.3285985666232,145.6295714285714,0.030282713958946023
news,8,9,software - usability,2004,584.2774401701282,141.25942857142857,0.02779603080901782
news,8,9,software - usability,2005,579.0551241942951,134.46414285714286,0.025705246197121556
news,8,9,software - usability,2006,595.4277314437966,128.24342857142855,0.024394793336775456
news,8,9,software - usability,2007,599.4261591829062,131.77285714285713,0.02200248073849677
news,8,9,software - usability,2008,611.0555025064702,126.68571428571428,0.020476113509894017
news,8,9,software - usability,2009,598.71418890969,125.02785714285714,0.020824093461501856
news,8,9,software - usability,2010,592.2030301406767,115.985,0.02064892291258679
news,8,9,software - usability,2011,564.1401482367966,113.312,0.020434986474301173
news,8,9,software - usability,2012,563.6471891199714,111.86742857142856,0.019499290320974128
news,8,9,software - usability,2013,575.8091374669444,109.55828571428572,0.018588104125260557
news,8,9,software - usability,2014,567.3826684024438,106.01228571428571,0.017919588525065196
news,8,9,software - usability,2015,568.262059321069,107.07285714285715,0.01801360315323976
news,8,9,software - usability,2016,576.6384046431452,104.83328571428571,0.016519584890369636
news,8,9,software - usability,2017,618.060102432046,110.29114285714286,0.01524411096850627
news,8,9,software - usability,2018,631.6901918416016,114.84814285714286,0.016258230868791457
news,8,9,software - usability,2019,611.4203561629828,106.0367142857143,0.014176031321619558
news,8,9,software - usability,2020,582.4914835855487,109.53128571428572,0.015321203764762304
news,8,9,software - usability,2021,602.6633321438208,104.70942857142856,0.014979889638258737
news,8,9,software - usability,2022,599.3418909806929,110.403,0.015823849792174285
news,8,9,software - usability,2023,600.1848991651492,100.1949374454466,0.013253298603895054
news,8,10,software - user interface,1990,1561.7557730668325,423.9200968523003,0.18757526409393818
news,8,10,software - user interface,1991,1005.6481954132651,299.4389989572471,0.19469375744944548
news,8,10,software - user interface,1992,1142.749734630666,298.50731158605174,0.1294480969583919
news,8,10,software - user interface,1993,1017.4487469892581,240.6552795031056,0.10231942155744286
news,8,10,software - user interface,1994,1013.2942520823246,217.21011348464617,0.08568446291307542
news,8,10,software - user interface,1995,777.8599377083468,203.80167687842632,0.08165131285193361
news,8,10,software - user interface,1996,698.4223062873809,178.63787375415282,0.07105722901915386
news,8,10,software - user interface,1997,741.6095044134877,220.65004793863855,0.08467001072088969
news,8,10,software - user interface,1998,787.3642323778959,206.48382479244202,0.047489380127056585
news,8,10,software - user interface,1999,691.7701708855408,165.77742857142857,0.03605424718821848
news,8,10,software - user interface,2000,635.905141714818,146.57758373890638,0.03140723885556169
news,8,10,software - user interface,2001,604.0287573020216,136.80328571428572,0.029733380942031234
news,8,10,software - user interface,2002,604.524651935642,126.82542857142856,0.026944004370390604
news,8,10,software - user interface,2003,632.6173008219944,124.68,0.02592638802245789
news,8,10,software - user interface,2004,582.3496000843355,119.93857142857144,0.02360066340585821
news,8,10,software - user interface,2005,590.0218692134927,117.85,0.0225291531255974
news,8,10,software - user interface,2006,606.2940520116181,112.61471428571429,0.02142185928965461
news,8,10,software - user interface,2007,630.4364559818164,117.88357142857143,0.019683348042840446
news,8,10,software - user interface,2008,612.5649434390493,107.94557142857144,0.017447158789166223
news,8,10,software - user interface,2009,603.5110751605911,107.02642857142857,0.017825854192443136
news,8,10,software - user interface,2010,595.8017101416248,100.79528571428571,0.017944683232025232
news,8,10,software - user interface,2011,563.9050184063506,97.1062857142857,0.01751240499806776
news,8,10,software - user interface,2012,556.6450145206937,95.94728571428571,0.01672429592370328
news,8,10,software - user interface,2013,581.929483684872,94.82614285714286,0.016088588879732416
news,8,10,software - user interface,2014,570.3569421920095,93.1997142857143,0.015753839466821212
news,8,10,software - user interface,2015,571.0879192501334,96.97814285714286,0.016315299942318784
news,8,10,software - user interface,2016,580.1449605442291,95.19957142857143,0.015001508261672144
news,8,10,software - user interface,2017,612.0017695458434,95.83742857142856,0.013246361931088952
news,8,10,software - user interface,2018,595.5527425318149,97.08242857142857,0.01374326565280699
news,8,10,software - user interface,2019,601.2192255343227,94.64385714285714,0.012652922077922077
news,8,10,software - user interface,2020,562.2471133586777,94.371,0.013200587494754511
news,8,10,software - user interface,2021,589.5772510424772,92.60557142857144,0.01324829348048232
news,8,10,software - user interface,2022,584.7609338508856,97.47457142857144,0.013970842973852864
news,8,10,software - user interface,2023,602.7795680850602,94.08187804179788,0.012444692862671677
news,8,11,software - visualization,1990,1626.2123510927568,532.910373066424,0.23580105002939117
news,8,11,software - visualization,1991,,,
news,8,11,software - visualization,1992,1264.909048629896,448.2552521008403,0.1943864926716567
news,8,11,software - visualization,1993,1093.4649347797829,345.3146771037182,0.14681746475498222
news,8,11,software - visualization,1994,1066.1962256076968,303.94709654435337,0.11990023532321632
news,8,11,software - visualization,1995,924.1098239266448,301.18131868131866,0.1206655924204001
news,8,11,software - visualization,1996,804.9728894532329,245.52128427128426,0.09766160869979484
news,8,11,software - visualization,1997,883.6332651267946,316.3188896411645,0.12138100139722353
news,8,11,software - visualization,1998,901.6709865623617,272.46111751152074,0.06266355048563035
news,8,11,software - visualization,1999,775.9470472683166,217.50344234079174,0.047303923954065186
news,8,11,software - visualization,2000,721.4212185356137,192.62316757688993,0.04127344494898006
news,8,11,software - visualization,2001,747.4161371674229,206.85314285714287,0.04495830099046791
news,8,11,software - visualization,2002,685.5613638270803,171.28514285714286,0.03638945036268172
news,8,11,software - visualization,2003,711.9590462491844,166.223,0.034564982324807654
news,8,11,software - visualization,2004,658.9572919740658,157.8962857142857,0.0310697138359476
news,8,11,software - visualization,2005,656.8544959480644,152.37528571428572,0.02912928421225114
news,8,11,software - visualization,2006,720.6844797260837,162.59585714285714,0.030929400255441723
news,8,11,software - visualization,2007,705.3881648136954,153.87428571428572,0.025692817784986763
news,8,11,software - visualization,2008,688.7555884529053,143.6802857142857,0.023222932877692858
news,8,11,software - visualization,2009,670.3785623254327,140.3532857142857,0.02337662986580375
news,8,11,software - visualization,2010,729.1846884266605,151.73214285714286,0.027013021694346245
news,8,11,software - visualization,2011,664.53167112322,136.62928571428571,0.024640087595001935
news,8,11,software - visualization,2012,635.2656532444146,129.42585714285715,0.022559849597848552
news,8,11,software - visualization,2013,659.3801169359734,127.29071428571429,0.021596660041688885
news,8,11,software - visualization,2014,647.418133682994,123.78314285714285,0.02092345213947648
news,8,11,software - visualization,2015,637.9840657080124,123.666,0.020805181695827728
news,8,11,software - visualization,2016,646.2030091937794,121.20042857142856,0.019098712349736615
news,8,11,software - visualization,2017,672.9631950436861,121.58557142857144,0.01680519301016882
news,8,11,software - visualization,2018,643.7454972516432,117.26985714285715,0.01660105565442485
news,8,11,software - visualization,2019,659.4104753822057,118.00714285714285,0.015776355996944234
news,8,11,software - visualization,2020,607.6504928607825,115.44914285714286,0.016148991866994387
news,8,11,software - visualization,2021,667.8396194833929,121.03657142857143,0.01731567545473125
news,8,11,software - visualization,2022,680.6327104303881,131.63542857142858,0.01886705296996253
news,8,11,software - visualization,2023,668.9042397839073,118.85454019664546,0.015721500026011304
paper,6,0,architecture - software,1990,8411.915414677936,868.5912681912682,0.06906188027282088
paper,6,0,architecture - software,1991,2902.2710865753274,605.1707910750507,0.04788501274529599
paper,6,0,architecture - software,1992,1489.4476672305666,497.995171026157,0.03839888742587377
paper,6,0,architecture - software,1993,1155.0458650272496,462.10301204819274,0.03537495307725582
paper,6,0,architecture - software,1994,1015.7505646363377,438.6052,0.03325285822592873
paper,6,0,architecture - software,1995,1017.4104016289872,411.16573146292586,0.03022832902976958
paper,6,0,architecture - software,1996,931.0074098932471,393.948,0.028638266938063393
paper,6,0,architecture - software,1997,892.491189525514,374.798,0.0268191771019678
paper,6,0,architecture - software,1998,779.6136738396052,345.19559999999996,0.02453764572078476
paper,6,0,architecture - software,1999,787.015996667135,339.2218,0.02348368293527172
paper,6,0,architecture - software,2000,693.8185288070127,312.6366,0.020875841346153844
paper,6,0,architecture - software,2001,750.5652634795548,306.2568,0.020106144957983192
paper,6,0,architecture - software,2002,687.5000299738427,291.7062,0.018454241791611314
paper,6,0,architecture - software,2003,645.2786919413443,282.1394,0.017591931662302034
paper,6,0,architecture - software,2004,651.19848734871,275.76079999999996,0.017023322427310326
paper,6,0,architecture - software,2005,608.0325516373557,266.1418,0.016174899720432723
paper,6,0,architecture - software,2006,611.9536796648624,263.09,0.015697494033412886
paper,6,0,architecture - software,2007,611.3386218788467,258.3188,0.015162223396137818
paper,6,0,architecture - software,2008,600.6481625416545,254.0254,0.014773213143355626
paper,6,0,architecture - software,2009,588.5205953608295,247.8376,0.01424108487042464
paper,6,0,architecture - software,2010,590.1919350439521,244.548,0.014006987799988544
paper,6,0,architecture - software,2011,606.1757309838614,242.34820000000002,0.013783881242179502
paper,6,0,architecture - software,2012,620.1259828797002,243.7696,0.01374046558818556
paper,6,0,architecture - software,2013,627.221976028692,247.8586,0.013937951976606872
paper,6,0,architecture - software,2014,637.6413395192872,250.1922,0.014099306846999156
paper,6,0,architecture - software,2015,633.047461751673,246.0506,0.013862005633802816
paper,6,0,architecture - software,2016,632.6089240319508,244.6654,0.013794068895529121
paper,6,0,architecture - software,2017,641.646100156566,244.0616,0.01376002706207363
paper,6,0,architecture - software,2018,614.7260277450391,240.52939999999998,0.013429893914014517
paper,6,0,architecture - software,2019,607.3111074925127,238.688,0.013242052704576976
paper,6,0,architecture - software,2020,633.9674719452532,246.583,0.013548516483516484
paper,6,0,architecture - software,2021,609.1823216982498,242.7894,0.013437535975204782
paper,6,0,architecture - software,2022,613.9530709504734,242.33360000000002,0.013430148525825759
paper,6,0,architecture - software,2023,638.8158033600932,246.6276,0.013617558389928773
paper,6,1,automation - software,1990,5265.939654515692,802.1081300813008,0.0637757915306751
paper,6,1,automation - software,1991,1817.9755624387735,560.304462474645,0.04433489970522591
paper,6,1,automation - software,1992,1251.815770835106,495.4315261044177,0.03820121259190513
paper,6,1,automation - software,1993,1068.8871825869503,431.8213114754098,0.03305682549761998
paper,6,1,automation - software,1994,1128.730157171335,450.41903807615233,0.03414852449402216
paper,6,1,automation - software,1995,1058.515484524727,372.57684210526315,0.02739132790069572
paper,6,1,automation - software,1996,1083.749292607827,435.79679999999996,0.031680488514102934
paper,6,1,automation - software,1997,1084.371873440842,430.7218,0.030820880143112704
paper,6,1,automation - software,1998,975.4808085628534,411.6232,0.02925953938015354
paper,6,1,automation - software,1999,949.1936363679338,362.0153374233129,0.02506163637406112
paper,6,1,automation - software,2000,878.6167759028872,379.213,0.025321380876068375
paper,6,1,automation - software,2001,851.835748182602,364.1556,0.023907274159663868
paper,6,1,automation - software,2002,832.6605136877918,362.478,0.02293148605048396
paper,6,1,automation - software,2003,775.4236651658929,344.4606,0.021477777777777776
paper,6,1,automation - software,2004,855.296523950414,343.377,0.021197419593802086
paper,6,1,automation - software,2005,807.4207948786172,334.2354,0.020313321988574207
paper,6,1,automation - software,2006,850.455203827,333.66240000000005,0.019908257756563245
paper,6,1,automation - software,2007,776.8432903584627,320.55440000000004,0.018815190467805366
paper,6,1,automation - software,2008,777.0398228161147,315.95340000000004,0.018374725210817098
paper,6,1,automation - software,2009,765.1285237541782,311.092,0.017875768545653047
paper,6,1,automation - software,2010,787.7287337053169,309.377,0.017720201615212785
paper,6,1,automation - software,2011,830.9749669919663,305.3026,0.017364497781822318
paper,6,1,automation - software,2012,775.1455595097326,298.528,0.016827010878755426
paper,6,1,automation - software,2013,781.4315251033225,294.38620000000003,0.01655436090648372
paper,6,1,automation - software,2014,809.6036045140638,296.71979999999996,0.01672131868131868
paper,6,1,automation - software,2015,805.8249356554817,297.7404,0.016774107042253524
paper,6,1,automation - software,2016,813.4821688681967,292.7642,0.01650584653549078
paper,6,1,automation - software,2017,819.4419795759902,294.8132,0.016621367762304787
paper,6,1,automation - software,2018,831.7830732924548,293.04720000000003,0.016362211055276382
paper,6,1,automation - software,2019,787.7825628099638,288.617,0.016012038834951458
paper,6,1,automation - software,2020,844.6986499420569,300.9734,0.016537
paper,6,1,automation - software,2021,801.6105767621473,296.837,0.01642887978746956
paper,6,1,automation - software,2022,818.8809563231091,297.97020000000003,0.01651353358457105
paper,6,1,automation - software,2023,804.3156685420398,295.40659999999997,0.016310893931864613
paper,6,2,data collection - software,1990,11796.822441394677,1161.3649590163934,0.09234037998063079
paper,6,2,data collection - software,1991,4191.26556868329,802.4022267206478,0.06349123490430826
paper,6,2,data collection - software,1992,3065.382752861307,829.9132264529059,0.06399207544551667
paper,6,2,data collection - software,1993,2157.12296243797,644.3568,0.049326862129679246
paper,6,2,data collection - software,1994,2096.855795439245,642.229,0.048690598938589846
paper,6,2,data collection - software,1995,1769.2948052805928,563.6324649298597,0.0414374698522173
paper,6,2,data collection - software,1996,1546.9094229136954,527.3838000000001,0.038338455946496076
paper,6,2,data collection - software,1997,1356.2117539385283,485.0434,0.03470793559928444
paper,6,2,data collection - software,1998,1291.985144377766,474.3598,0.03371906454364516
paper,6,2,data collection - software,1999,1210.1623540119242,445.6324,0.030850287296642437
paper,6,2,data collection - software,2000,1087.5156863003765,411.1448,0.02745357905982906
paper,6,2,data collection - software,2001,1082.7087226451692,396.2288,0.026012920168067225
paper,6,2,data collection - software,2002,1029.8399330595373,386.191,0.024431644208262163
paper,6,2,data collection - software,2003,1013.3920536437356,382.483,0.023848547200399053
paper,6,2,data collection - software,2004,935.2510953472962,357.4624,0.02206694240385209
paper,6,2,data collection - software,2005,929.0227515856063,361.4468,0.021967108301932662
paper,6,2,data collection - software,2006,948.0592707633174,351.6082,0.02097900954653938
paper,6,2,data collection - software,2007,881.9899200106686,341.68940000000003,0.020055725773316897
paper,6,2,data collection - software,2008,850.7561681310314,335.916,0.01953567897644664
paper,6,2,data collection - software,2009,853.3477067127244,333.6946,0.019174544618743895
paper,6,2,data collection - software,2010,832.0132440646382,325.0786,0.018619542929148292
