source,K,year,pp_mean,pp_sd,pp_lo,pp_hi,rank_mean,rank_sd,rank_lo,rank_hi,rank_norm_mean,rank_norm_sd,rank_norm_lo,rank_norm_hi,n_anchor
news,6,2022,682.4939225888244,96.8018725144643,617.4615397513953,747.5263054262534,139.00723001094497,33.9624346560776,116.19095595265973,161.82350406923018,0.019923639101468386,0.0048677704824534335,0.016653426394246766,0.023193851808690005,11.0
news,6,2023,696.8621971954603,95.71677667905774,632.5587916593012,761.1656027316195,134.25796972262933,31.7603744614928,112.9210598324691,155.59487961278955,0.0177589907040515,0.004201107733001692,0.014936648125987977,0.020581333282115023,11.0
news,8,1990,1558.274280740417,111.91797384923134,1478.212985245125,1638.335576235709,476.966672155753,54.3200091836607,438.10847845383137,515.8248658576746,0.21104720006891728,0.024035402293655177,0.1938533090503679,0.22824109108746665,10.0
news,8,1991,981.1163613123833,18.475519864565108,951.7176863467928,1010.5150362779739,297.64374094973294,2.0936919952003246,294.31220977246926,300.97527212699663,0.1935264895641957,0.0013613081893370264,0.19136034445544164,0.19569263467294973,4.0
news,8,1992,1213.5022177887377,136.43569758731107,1121.8434689679034,1305.160966609572,375.3965335777644,86.12061284968723,317.5399186223252,433.25314853320356,0.16279121143875297,0.03734631953585742,0.13770161258557034,0.1878808102919356,11.0
news,8,1993,1087.7657797876368,78.03578940250617,1035.340623128746,1140.1909364465275,321.856345183712,68.09866682981678,276.1070383060641,367.6056520613599,0.1368436841767483,0.028953514808595565,0.11739244825938101,0.15629492009411558,11.0
news,8,1994,1067.0700396510033,54.631001721646555,1027.989375289328,1106.1507040126785,282.3050863841957,38.17214053586158,254.99838203618438,309.61179073220706,0.1113629532087557,0.015058043603890167,0.10059107772630546,0.12213482869120593,10.0
news,8,1995,865.8844310998212,111.39154289282467,791.0505743355768,940.7182878640656,273.71894074042217,68.7021667239252,227.56419711721816,319.8736843636262,0.10966303715561786,0.02752490654003414,0.0911715533322188,0.12815452097901692,11.0
news,8,1996,798.7269817381202,65.25729094195849,754.8865371554309,842.5674263208095,246.19428500114967,40.62309234865659,218.90332021879667,273.48524978350264,0.09792930986521466,0.016158747950937385,0.0870737152819398,0.10878490444848951,11.0
news,8,1997,790.5809148291944,73.53831473689984,737.9747735287089,843.18705612968,256.8334574675706,40.073380132095174,228.1666882444887,285.50022669065254,0.0985546651832581,0.015377352314695005,0.08755437000939705,0.10955496035711916,10.0
news,8,1998,877.4579866269036,82.06434792021106,822.3264075300871,932.58956572372,267.31505383190046,46.53611663342009,236.05166528309297,298.57844238070794,0.06148000318120986,0.010702878710538197,0.05428971142665432,0.06867029493576539,11.0
news,8,1999,765.1781603127041,69.5966641970663,718.4224851102919,811.9338355151164,216.57008968159883,43.246348771375544,187.5167972548347,245.62338210836296,0.04710093294510631,0.009405469502256533,0.04078225255651037,0.05341961333370225,11.0
news,8,2000,715.4634524748334,73.29469028611194,666.2234095415214,764.7034954081454,192.9712477621524,40.466538475348926,165.7854573029728,220.157038221332,0.04134802823273031,0.008670781760306178,0.035522917785080946,0.04717313868037967,11.0
news,8,2001,679.9360111626711,75.41972884220577,629.2683479020401,730.6036744233021,185.29709568597374,43.40497206530703,156.1372386803442,214.45695269160328,0.040273222274717184,0.009433812663618138,0.03393550069122891,0.04661094385820546,11.0
news,8,2002,679.0179475204237,73.49649192675534,629.6423324002246,728.3935626406228,174.59601298701298,41.66652961508939,146.60405751083474,202.58796846319123,0.037092843209478005,0.008852035184850091,0.031145965054351972,0.04303972136460404,11.0
news,8,2003,707.122499738027,78.13995053005641,654.6273666814935,759.6176327945606,168.17833766233764,40.67632362896702,140.851611619276,195.50506370539927,0.03497158196347217,0.008458374636923893,0.029289168562960294,0.04065399536398405,11.0
news,8,2004,657.8023083396519,74.48538786947337,607.7623438854705,707.8422727938332,163.57085714285716,36.09824335479555,139.31972727698638,187.82198700872794,0.03218631584865351,0.007103156897834622,0.02741435011353529,0.03695828158377173,11.0
news,8,2005,654.1702956199009,77.93837797608435,601.8105808477345,706.5300103920673,157.79329870129868,38.80154488931819,131.7260661532012,183.86053124939616,0.03016503511781661,0.007417615157583287,0.02518181344928335,0.03514825678634987,11.0
news,8,2006,671.483685062872,74.49020009529238,621.4404877113961,721.5268824143479,149.67157142857144,35.81299887089226,125.61207141445472,173.73107144268815,0.028470909535585207,0.006812440340668111,0.023894249841060436,0.03304756923010998,11.0
news,8,2007,687.1516047217054,86.78092461334381,628.8513862874208,745.45182315599,154.7423896103896,41.80967129778639,126.6542702432933,182.83050897748592,0.025837767508831124,0.006981077191148169,0.021147816036616012,0.030527718981046236,11.0
news,8,2008,680.1298274300405,82.62066490651438,624.6245094964381,735.6351453636428,144.70866233766233,35.55920301707107,120.81966469813331,168.59765997719137,0.023389148591831634,0.00574740633862471,0.019527988475534715,0.027250308708128553,11.0
news,8,2009,669.4554123531078,80.1805519583103,615.5893846035922,723.3214401026235,142.53603896103894,32.973807096003526,120.38393393482242,164.68814398725544,0.02374017970703514,0.005491973200533567,0.020050621907865166,0.02742973750620511,11.0
news,8,2010,680.1815364114359,79.54001338946496,626.7458283277415,733.6172444951303,138.88650649350646,30.774294825148434,118.21205391696232,159.56095907005061,0.024726100497330695,0.005478777786211222,0.021045407498123975,0.028406793496537415,11.0
news,8,2011,639.7792899880972,69.76806529047965,592.9084659643236,686.6501140118708,131.22525974025973,25.922845850465826,113.81005493281911,148.64046454770033,0.023665511224573443,0.00467499474309573,0.020524807021247815,0.02680621542789907,11.0
news,8,2012,632.0961527384189,73.06776871307943,583.0085577921984,681.1837476846395,131.85103896103897,30.723766421365998,111.21053182804451,152.49154609403342,0.022982576078270697,0.00535537152193934,0.019384788535479265,0.026580363621062128,11.0
news,8,2013,655.8635277447198,78.6748377140889,603.0090525884596,708.7180029009801,130.26168831168832,31.448493792089547,109.13430270618689,151.38907391718973,0.02210072757239367,0.0053356792996419305,0.018516169444551558,0.025685285700235785,11.0
news,8,2014,647.6221097882913,76.99211081306039,595.8981059462318,699.3461136303507,126.22140259740259,27.53070077210784,107.72602615593037,144.7167790388748,0.02133559881632904,0.004653600536191319,0.01820926743676984,0.02446193019588824,11.0
news,8,2015,650.3689738232282,83.4424933514449,594.3115440278494,706.426403618607,131.48642857142855,35.699863570196065,107.50293388650836,155.46992325634875,0.022120866179580853,0.006006033575066633,0.018085957921687146,0.02615577443747456,11.0
news,8,2016,651.9587371262097,72.33237369976754,603.3651872723017,700.5522869801177,124.26379220779222,25.728021699002458,106.97947204622507,141.5481123693594,0.01958143589785569,0.004054210794043879,0.016857780026193675,0.022305091769517706,11.0
news,8,2017,689.1123975293683,83.07817492630339,633.2997201822957,744.9250748764409,129.4566103896104,32.51963412300712,107.60962291832448,151.30359786089633,0.0178931044076863,0.004494766292053505,0.014873479325269449,0.020912729490103154,11.0
news,8,2018,663.6360593437593,66.64997797252907,618.859994883146,708.4121238043725,123.42975324675325,23.17254075885463,107.86222854085887,138.99727795264764,0.017473068126663823,0.0032803710021028637,0.015269284901027583,0.019676851352300063,11.0
news,8,2019,674.11455870901,66.7546498496724,629.2681747245085,718.9609426935115,121.38611087109281,22.057183680994136,106.5678932457719,136.20432849641372,0.016228089688648775,0.0029488213477264894,0.014247044551573787,0.018209134825723762,11.0
news,8,2020,639.4660912922174,71.42431544519656,591.4825832744435,687.4495993099912,124.68727272727273,26.54371804435433,106.85496030448058,142.51958515006487,0.017441218733707194,0.003712927408638178,0.014946840160089604,0.019935597307324783,11.0
news,8,2021,664.3712308924846,66.93200691848921,619.4056968079012,709.336764977068,120.84563701428833,22.31808923955071,105.85214064974748,135.83913337882916,0.017288360087881018,0.0031928596909228486,0.01514336776105114,0.019433352414710895,11.0
news,8,2022,657.8302241734589,69.72291118982082,610.9897350872692,704.6707132596486,125.78639791270854,23.770410293290716,109.81721898835393,141.75557683706316,0.018028722647657806,0.003406967219906939,0.01573989092566345,0.02031755436965216,11.0
news,8,2023,674.0038081636994,69.31011039400468,627.4406424256206,720.5669739017783,119.85266246956714,21.811107168834482,105.1997612945419,134.50556364459237,0.015853526781688772,0.002885067085824666,0.01391531234054787,0.017791741222829675,11.0
paper,6,1990,11784.253287211135,4703.062410434122,8624.692968396303,14943.813606025968,1153.059538819489,343.96203320036284,921.9827007006386,1384.1363769383395,0.09168001421797642,0.027348495921154712,0.07330704466093974,0.1100529837750131,11.0
paper,6,1991,4166.340877041213,1745.6012173864185,2993.6300223664416,5339.051731715985,793.2654214246413,227.84749946821236,640.1953884895487,946.335454359734,0.0627682719911886,0.01802876242033647,0.05065638459325439,0.07488015938912282,11.0
paper,6,1992,2591.1430362353344,1077.7546575395995,1867.0976053634818,3315.188467107187,697.7720816757615,186.84142395474478,572.2503051140554,823.2938582374675,0.05380307515427261,0.014406771837053342,0.04412447413941363,0.06348167616913158,11.0
paper,6,1993,2128.1308750739827,952.6484687277659,1488.1329254626517,2768.1288246853137,629.5071889261474,180.3215109795185,508.36554950082035,750.6488283514743,0.04819009331134865,0.013803989204586887,0.03891644717911815,0.05746373944357915,11.0
paper,6,1994,2053.8928624491778,853.4799807755466,1480.5172095599899,2627.2685153383654,621.604896629623,157.0601660869103,516.0904413390195,727.1193519202264,0.0471269823070222,0.011907518278006844,0.03912740267922815,0.05512656193481624,11.0
paper,6,1995,1752.1748180856664,673.006144482394,1300.0431381599362,2204.306498011397,545.9264508232445,135.90431601867107,454.624688997671,637.228212648818,0.04013574847987388,0.009991495075626456,0.033423370754129614,0.04684812620561815,11.0
paper,6,1996,1690.7808749932688,708.9513489079903,1214.5008781532583,2167.060871833279,557.369408766273,149.43352072507824,456.9786035461974,657.7602139863485,0.04051827629879856,0.01086315213180272,0.03322031139475119,0.04781624120284593,11.0
paper,6,1997,1607.5572510307843,613.4779860038446,1195.417132127861,2019.6973699337077,536.7625454545455,138.4125711365291,443.77571491241264,629.7493759966783,0.0384087689055131,0.009904298471307985,0.031754970655628816,0.04506256715539738,11.0
paper,6,1998,1423.4019963571473,535.702265106811,1063.5123177138082,1783.2916750004863,500.94612727272727,126.95999530958632,415.6532418610581,586.2390126843965,0.03560890867733347,0.00902473665834421,0.029546008093620846,0.04167180926104609,11.0
paper,6,1999,1442.8030128936362,552.8438297329247,1071.3974744405461,1814.2085513467262,495.0299275595251,141.40218651467254,400.03464607777806,590.0252090412721,0.03426998460086708,0.00978900564310644,0.027693641126879748,0.040846328074854416,11.0
paper,6,2000,1363.147519146624,543.8874726681047,997.7589432412478,1728.5360950520003,474.9783723446894,143.60853120903403,378.50084832870203,571.4558963606767,0.03171597037558022,0.009589244872398107,0.02527382801340158,0.03815811273775886,11.0
paper,6,2001,1407.9395856677131,570.0320131534604,1024.986868472629,1790.8923028627971,466.86307673528876,144.1492731580943,370.0222773349095,563.703876135668,0.03065014947054154,0.009463581483593376,0.024292428921672108,0.03700787001941098,11.0
paper,6,2002,1331.4750577739178,535.4534580390832,971.7525299930655,1691.19758555477,456.7040909090909,144.62868351292875,359.54121924996315,553.8669625682187,0.028892521725127532,0.009149660499331228,0.02274569616308997,0.035039347287165096,11.0
paper,6,2003,1283.7086135436691,500.7066322474295,947.3293209562337,1620.0879061311045,442.7336909090909,131.94507881115882,354.09178083157786,531.3756009866039,0.027605293110680315,0.008227028233642526,0.022078300338669275,0.033132285882691355,11.0
paper,6,2004,1234.6821678004044,471.46691699282457,917.9463832061717,1551.417952394637,424.5190909090909,124.60577625848215,340.80779137626615,508.23039044191563,0.026206499840057466,0.007692189410363734,0.021038816678576835,0.031374183001538096,11.0
