min_share,max_share,year,run,V_t,E_t,n_core,R_t,S_t,H_t,Q_cp,C_t
0.0,1.0,2001,3,4686,142828,1607,0.342936406316688,520,0.06218089882897978,0.41309652437627936,0.6054760423148724
0.0,1.0,2002,3,4798,140577,1744,0.3634847853272197,578,0.07195509111185928,0.4057892051856604,0.6192660550458715
0.0,1.0,2003,3,4886,136538,1654,0.33851821530904624,550,0.07280141652130562,0.40152873935214767,0.5846432889963724
0.0,1.0,2004,3,5191,159913,1793,0.3454055095357349,629,0.0702468451861969,0.4070125376283533,0.611266034578918
0.0,1.0,2005,3,5330,163850,1877,0.3521575984990619,599,0.06960829421800908,0.406813388585387,0.5913692061800746
0.0,1.0,2006,3,5376,162408,1919,0.35695684523809523,658,0.07813448304047105,0.40283713167839724,0.5914538822303284
0.0,1.0,2007,3,6124,242939,2076,0.33899412148922276,688,0.09282617008401366,0.3947288246271463,0.6252408477842004
0.0,1.0,2008,3,6388,292971,2195,0.343613024420789,633,0.09613752523077407,0.3935367138498718,0.5995444191343964
0.0,1.0,2009,3,6142,247685,2106,0.3428850537284272,652,0.09751183477046095,0.3916083571811811,0.566951566951567
0.0,1.0,2010,3,5716,191704,2034,0.3558432470258922,655,0.08319193184883528,0.3959892791276999,0.5870206489675516
0.0,1.0,2011,3,5647,178568,1907,0.33770143438994155,625,0.09009585472780027,0.39442128771581275,0.5804929208180388
0.0,1.0,2012,3,5826,185481,1992,0.3419155509783728,615,0.08747993983968001,0.39557585256284244,0.5983935742971888
0.0,1.0,2013,3,6028,188732,1968,0.32647644326476444,627,0.09259792864696939,0.39605497201592976,0.584349593495935
0.0,1.0,2014,3,6058,188323,2002,0.33047210300429186,663,0.09187715381521575,0.3972431408934786,0.5864135864135864
0.0,1.0,2015,3,6044,190686,2041,0.3376902713434811,658,0.08851397886684076,0.3987987663814222,0.5948064674179323
0.0,1.0,2016,3,6445,224801,2037,0.3160589604344453,678,0.08940130415010092,0.4032147381016815,0.5841924398625429
0.0,1.0,2017,3,7748,301745,2411,0.31117707795560146,760,0.08051631873201097,0.41304650702469103,0.6395686437163003
0.0,1.0,2018,3,7419,290091,2358,0.31783259199353014,829,0.08174291261912421,0.41016742577804427,0.6132315521628499
0.0,1.0,2019,3,8004,361916,2556,0.3193403298350825,830,0.0766363963646249,0.4165025410166136,0.6111111111111112
