min_share,max_share,year,run,V_t,E_t,n_core,R_t,S_t,H_t,Q_cp,C_t,density
0.0,1.0,2008,0,6388,292971,2195,0.343613024420789,624,0.09520892896985798,0.39351179557003163,0.5758542141230069,0.014361268618678811
0.0,1.0,2009,0,6142,247685,2093,0.3407684793226962,629,0.09900382340607523,0.39157106800999136,0.5504061156235069,0.013133509493154227
0.0,1.0,2010,0,5716,191704,1995,0.34902029391182643,642,0.08636503539550626,0.39609641112586697,0.5874686716791979,0.011736881385278205
0.0,1.0,2011,0,5647,178568,1901,0.3366389233221179,604,0.09016572855007789,0.39449755388146557,0.5775907417148869,0.011201468671574491
0.0,1.0,2012,0,5826,185481,1986,0.3408856848609681,645,0.08823445893662485,0.39561449098500595,0.596173212487412,0.010931078530606472
0.0,1.0,2013,0,6028,188732,2021,0.33526874585268746,622,0.08918160404324608,0.3960082381872288,0.5932706580900544,0.010389654429431636
0.0,1.0,2014,0,6058,188323,1978,0.32651039947177285,621,0.09438965117812617,0.39725140304718454,0.589989888776542,0.010264706047473619
0.0,1.0,2015,0,6044,190686,2018,0.33388484447385836,641,0.09189003625448267,0.39886838019335724,0.597621407333994,0.010441713057305065
0.0,1.0,2016,0,6445,224801,2039,0.31636927851047325,702,0.08848133298665235,0.40312278021452186,0.6002942618930849,0.010825545283853877
0.0,1.0,2017,0,7748,301745,2474,0.3193082085699535,805,0.07626575888022827,0.4130657911456949,0.6459175424413904,0.010054185879337508
0.0,1.0,2018,0,7419,290091,2238,0.3016579053780833,797,0.08896300076427874,0.4103328637989057,0.593833780160858,0.010542219409907398
0.0,1.0,2019,0,8004,361916,2558,0.31959020489755124,879,0.07522827707582828,0.4165859628881554,0.6301798279906177,0.01129998539403296
0.0,1.0,2020,0,7525,328984,2230,0.2963455149501661,800,0.07832733415109897,0.41878203339614567,0.5681614349775785,0.011621160017732845
0.0,1.0,2021,0,7175,354750,2212,0.30829268292682926,768,0.07860461922310988,0.4165941867954579,0.5845388788426763,0.013783805049010703
