min_share,max_share,year,run,V_t,E_t,n_core,R_t,S_t,H_t,Q_cp,C_t,density
0.0005,0.01,2016,0,1467,350306,626,0.4267211997273347,66,0.2681052169563842,0.22508236767420753,0.2763578274760383,0.3257717999722871
0.0005,0.01,2017,0,1467,359535,619,0.4219495569188821,58,0.24954784020294335,0.22222074392533708,0.20193861066235863,0.3343544332755826
0.0005,0.01,2018,0,1467,375065,607,0.41376959781867756,74,0.253253503198543,0.22434779525783646,0.214168039538715,0.34879676670284226
0.0005,0.01,2019,0,1467,389625,635,0.4328561690524881,60,0.246996093992188,0.22831918667427684,0.2188976377952756,0.36233703551809665
0.0005,0.01,2020,0,1467,402831,623,0.42467620995228356,63,0.274169155100495,0.23536394020067364,0.2825040128410915,0.37461813373061376
0.0005,0.01,2021,0,1467,413796,612,0.4171779141104294,81,0.23942180357981974,0.22895045792952284,0.28431372549019607,0.38481518370034345
0.0005,0.01,2022,0,1467,411914,579,0.3946830265848671,61,0.27735569336686144,0.23792376561806491,0.20725388601036265,0.3830649923603497
0.0005,0.01,2023,0,1467,420901,600,0.40899795501022496,69,0.25268888888888896,0.24086078542000222,0.23833333333333329,0.39142257449240264
0.0005,0.05,1990,0,1522,140144,469,0.30814717477003944,107,0.27019789871840916,0.30663300377238667,,0.12107671745799715
0.0005,0.05,1991,0,1519,146989,486,0.31994733377221857,96,0.25348439431658454,0.2594655306469155,0.38888888888888884,0.12749269030575383
0.0005,0.05,1992,0,1524,155668,456,0.2992125984251969,107,0.29642774699907654,0.30607128210283,0.3442982456140351,0.13413572810949517
0.0005,0.05,1993,0,1527,161237,457,0.29927963326784546,102,0.2857710594735908,0.30315401013095417,0.29540481400437635,0.13838886070821327
0.0005,0.05,1994,0,1531,167385,450,0.29392553886348793,108,0.30198518518518513,0.3010873338272818,0.3044444444444444,0.1429156901166737
0.0005,0.05,1995,0,1530,172876,453,0.296078431372549,107,0.2838228342811475,0.29812728818472767,0.2869757174392936,0.14779705647246907
0.0005,0.05,1996,0,1532,183580,444,0.2898172323759791,105,0.29265075886697517,0.29494111000259504,0.2927927927927928,0.15653858550785932
0.0005,0.05,1997,0,1537,187708,459,0.2986337020169161,90,0.2578068264342774,0.25413216770236263,0.3594771241830066,0.15901851550639776
0.0005,0.05,1998,0,1534,195873,430,0.2803129074315515,87,0.3001297998918335,0.291668193235429,0.3302325581395349,0.166585446130373
0.0005,0.05,1999,0,1535,208119,434,0.28273615635179156,98,0.291363163371488,0.2915342848654163,0.315668202764977,0.176769765871516
0.0005,0.05,2000,0,1535,225545,413,0.26905537459283385,96,0.31081263301068784,0.289786105206773,0.2808716707021792,0.19157086495462247
0.0005,0.05,2001,0,1536,235890,397,0.2584635416666667,83,0.32799522869886866,0.28777530564730014,0.2695214105793451,0.20009670195439738
0.0005,0.05,2002,0,1536,324348,492,0.3203125,118,0.22950955119307292,0.3085092302858496,0.44308943089430897,0.275132328990228
0.0005,0.05,2003,0,1537,307261,448,0.291476903057905,101,0.25057796556122447,0.2953306352085773,0.3214285714285714,0.26029891157015833
0.0005,0.05,2004,0,1536,311264,410,0.2669270833333333,79,0.29986912552052336,0.2898369287400545,0.25853658536585367,0.26403365906623233
0.0005,0.05,2005,0,1536,337314,444,0.2890625,68,0.2673991559126693,0.2898765461439527,0.2725225225225225,0.2861309039087948
0.0005,0.05,2006,0,1537,357538,435,0.2830188679245283,91,0.266249174263443,0.29105858096916887,0.2689655172413793,0.30289152298850575
0.0005,0.05,2007,0,1537,365608,426,0.2771633051398829,85,0.27047102647182003,0.2889760053814526,0.23943661971830987,0.30972809585773153
0.0005,0.05,2008,0,1537,380366,424,0.27586206896551724,81,0.2706812922748309,0.28809075687951297,0.2688679245283019,0.32223046790284104
0.0005,0.05,2009,0,1537,396388,422,0.2745608327911516,74,0.28161990970553225,0.2877014953349342,0.2819905213270142,0.3358036488831056
0.0005,0.05,2010,0,1537,411054,447,0.29082628497072216,89,0.25345705148416736,0.28651754657510253,0.30201342281879195,0.348228082303188
0.0005,0.05,2011,0,1537,419709,418,0.2719583604424203,65,0.28057965705913324,0.2847546501170078,0.27990430622009566,0.3555602431685101
0.0005,0.05,2012,0,1537,426014,435,0.2830188679245283,92,0.250838948341921,0.2841834215958583,0.29655172413793107,0.3609015804597701
0.0005,0.05,2013,0,1537,432716,417,0.27130774235523747,80,0.27473273180017127,0.28345401287930894,0.2517985611510791,0.3665792398612015
0.0005,0.05,2014,0,1537,438070,450,0.29277813923227064,92,0.2499160493827161,0.2823073341471156,0.2711111111111111,0.3711149289741921
0.0005,0.05,2015,0,1537,436649,453,0.2947299934938191,96,0.2574984527969047,0.2813373099043426,0.2715231788079471,0.3699111160811104
0.0005,0.05,2016,0,1537,437650,462,0.30058555627846456,77,0.2575757575757577,0.2800080747900796,0.26190476190476186,0.370759122207764
0.0005,0.05,2017,0,1537,448162,462,0.30058555627846456,83,0.2551582616517682,0.2827457410258312,0.25757575757575757,0.37966445727607895
0.0005,0.05,2018,0,1537,464955,484,0.3148991541964867,105,0.23626289187897004,0.28511285976204237,0.30165289256198347,0.3938907978204294
0.0005,0.05,2019,0,1537,480649,485,0.3155497722836695,96,0.24668721436922095,0.28754024691985164,0.2680412371134021,0.407186110659293
0.0005,0.05,2020,0,1537,494277,498,0.3240078074170462,105,0.24208480508378893,0.29018117611690053,0.30522088353413657,0.4187311930709174
0.0005,0.05,2021,0,1537,505947,505,0.328562134027326,103,0.22610724438780505,0.29334603040432766,0.24554455445544554,0.4286175382238126
0.0005,0.05,2022,0,1537,504004,500,0.32530904359141183,117,0.228016,0.2960006299190463,0.25,0.4269715083495988
0.0005,0.05,2023,0,1537,513330,508,0.3305139882888744,111,0.23371721743443488,0.2980713685078635,0.2716535433070866,0.43487211288223815
0.0005,0.1,1990,0,1527,145484,440,0.28814669286182054,126,0.25737603305785134,0.31519114125789177,,0.12486814447846152
0.0005,0.1,1991,0,1524,152442,444,0.29133858267716534,117,0.26224535346156963,0.3140907110663422,0.3513513513513513,0.1313559541104637
0.0005,0.1,1992,0,1530,161383,427,0.27908496732026145,132,0.2677741884176407,0.31495703433134936,0.30210772833723654,0.13797133416261642
0.0005,0.1,1993,0,1532,167017,418,0.27284595300261094,109,0.27779812733224957,0.3122183376797351,0.3038277511961722,0.1424153226700411
0.0005,0.1,1994,0,1536,173318,395,0.2571614583333333,101,0.2970741868290339,0.3107056433390167,0.2936708860759494,0.14701920466883822
0.0005,0.1,1995,0,1535,178852,404,0.26319218241042347,107,0.2888074698558966,0.3081060011254776,0.3143564356435643,0.15191129193227135
0.0005,0.1,1996,0,1537,189690,385,0.2504879635653871,84,0.3101028841288582,0.30477306822615846,0.3012987012987013,0.16069758458035133
0.0005,0.1,1997,0,1542,193860,397,0.25745784695201035,109,0.2987329403777702,0.30486798103323504,0.3022670025188917,0.1631665728202163
0.0005,0.1,1998,0,1539,202163,399,0.25925925925925924,98,0.29972801678381417,0.3018122425660394,0.29824561403508776,0.1708192119754185
0.0005,0.1,1999,0,1540,214533,375,0.2435064935064935,91,0.3198933333333334,0.30124953602515425,0.2613333333333333,0.1810359231411863
0.0005,0.1,2000,0,1540,232096,358,0.23246753246753246,85,0.33202771449080865,0.30015694545997496,0.2737430167597765,0.195856644979452
0.0005,0.1,2001,0,1541,242527,360,0.2336145360155743,100,0.3205246913580247,0.298629341951197,0.28055555555555556,0.20439333541215435
0.0005,0.1,2002,0,1541,331411,453,0.29396495781959764,101,0.23486786641911409,0.314946110551714,0.47902869757174393,0.2793016846877976
0.0005,0.1,2003,0,1542,314311,397,0.25745784695201035,99,0.2792543573019304,0.303876727990976,0.2770780856423174,0.2645468310620809
0.0005,0.1,2004,0,1541,318291,369,0.23945489941596365,81,0.29457039827850856,0.2988670507408429,0.31436314363143636,0.26824460419528556
0.0005,0.1,2005,0,1541,344452,387,0.2511356262167424,82,0.2775407460823,0.2990785346254944,0.30490956072351416,0.2902921867230758
0.0005,0.1,2006,0,1542,364724,397,0.25745784695201035,81,0.280117252187375,0.29902523709961965,0.27455919395466,0.30697805171402337
0.0005,0.1,2007,0,1542,372854,364,0.23605706874189364,82,0.3007939862335467,0.29806360623634076,0.23901098901098905,0.31382084670540045
0.0005,0.1,2008,0,1542,387656,364,0.23605706874189364,78,0.3132170027774425,0.297337617812189,0.2554945054945055,0.3262792786195903
0.0005,0.1,2009,0,1542,403710,372,0.24124513618677043,70,0.3102237252861602,0.2966482751769045,0.26881720430107525,0.33979148412900817
0.0005,0.1,2010,0,1542,418416,377,0.2444876783398184,84,0.27719184684336057,0.29593220362405864,0.26525198938992045,0.35216911551193447
0.0005,0.1,2011,0,1542,427093,355,0.23022049286640725,65,0.3111208093632217,0.29496299957237176,0.22816901408450707,0.35947230519707335
0.0005,0.1,2012,0,1542,433420,355,0.23022049286640725,53,0.3356080142828805,0.2927499116034465,0.2676056338028169,0.3647975652106579
0.0005,0.1,2013,0,1542,440113,359,0.23281452658884566,65,0.3168116324361233,0.292609549901404,0.2674094707520891,0.3704308772496846
0.0005,0.1,2014,0,1542,445500,383,0.248378728923476,66,0.28362726584815506,0.2915915997676353,0.2689295039164491,0.37496496539464746
0.0005,0.1,2015,0,1542,444103,380,0.24643320363164722,79,0.2883379501385042,0.29100722053870304,0.2657894736842106,0.37378914933032353
0.0005,0.1,2016,0,1542,445075,402,0.2607003891050584,100,0.27243137546100316,0.29055948103385487,0.28358208955223885,0.3746072547093664
0.0005,0.1,2017,0,1542,455628,395,0.25616083009079116,86,0.28398654061849077,0.29340032420645773,0.2632911392405063,0.383489421442946
0.0005,0.1,2018,0,1542,472470,396,0.25680933852140075,66,0.2858381797775737,0.2942096302897381,0.23484848484848486,0.39766486464648504
0.0005,0.1,2019,0,1542,488171,422,0.27367055771725035,104,0.25293681633386494,0.2985091004566033,0.29146919431279616,0.4108799598690695
0.0005,0.1,2020,0,1542,501837,400,0.2594033722438392,93,0.2605749999999999,0.3018283365128244,0.27249999999999996,0.422382252163308
0.0005,0.1,2021,0,1542,513500,428,0.2775616083009079,100,0.24839505633679787,0.304415645170649,0.2850467289719626,0.4321986750396217
0.0005,0.1,2022,0,1542,511564,428,0.2775616083009079,97,0.24275045855533234,0.3067607020047912,0.2780373831775701,0.43056919765914126
0.0005,0.1,2023,0,1542,520896,434,0.2814526588845655,96,0.2591475716196988,0.30831321921782506,0.2949308755760369,0.43842368263571335
0.0005,1.0,1990,0,1530,148872,367,0.23986928104575164,120,0.2624045022236411,0.33011044007922136,,0.1272752920658126
0.0005,1.0,1991,0,1528,155933,370,0.24214659685863874,112,0.267552958363769,0.32896402849110284,0.33783783783783783,0.13366128705979968
0.0005,1.0,1992,0,1533,164943,374,0.24396607958251793,120,0.26123137636192084,0.3295877165214956,0.32887700534759357,0.14046333151093693
0.0005,1.0,1993,0,1535,170614,364,0.23713355048859935,110,0.27268747735780724,0.3278045541811363,0.3131868131868132,0.14491419252640475
0.0005,1.0,1994,0,1539,176979,360,0.23391812865497075,114,0.2648765432098764,0.32627096666658295,0.3277777777777777,0.14953979371199275
0.0005,1.0,1995,0,1538,182564,341,0.22171651495448635,100,0.2980624521632942,0.32384656312471144,0.29618768328445744,0.15445961049212617
0.0005,1.0,1996,0,1540,193475,346,0.22467532467532467,101,0.283069932172809,0.3217857749364483,0.315028901734104,0.16326590887994397
0.0005,1.0,1997,0,1545,197632,327,0.21165048543689322,93,0.3103087095175305,0.3214146955684366,0.308868501529052,0.1656957928802589
0.0005,1.0,1998,0,1542,205999,329,0.2133592736705577,88,0.30397908371134774,0.3182494193184134,0.3100303951367781,0.17338363166404486
0.0005,1.0,1999,0,1543,218394,319,0.2067401166558652,84,0.30140230540187307,0.3185276392083068,0.322884012539185,0.18357790044660083
0.0005,1.0,2000,0,1543,236058,301,0.19507453013609852,80,0.31367203452500514,0.31733317727494903,0.3023255813953488,0.19842592756038946
0.0005,1.0,2001,0,1544,246518,292,0.18911917098445596,74,0.3361090260836928,0.3154643686856784,0.2808219178082192,0.2069499897581926
0.0005,1.0,2002,0,1544,335621,393,0.2545336787564767,102,0.23059391773336183,0.3315634300181053,0.4936386768447837,0.281751281904909
0.0005,1.0,2003,0,1545,318534,341,0.22071197411003235,88,0.2655377920726516,0.32151939004010494,0.29032258064516125,0.26706071733990644
0.0005,1.0,2004,0,1544,322504,311,0.20142487046632124,66,0.30244724516909477,0.3170827772578037,0.2636655948553055,0.2707396599719945
0.0005,1.0,2005,0,1544,348713,309,0.20012953367875647,73,0.2996302929378619,0.31815091673712026,0.3042071197411004,0.29274191652759074
0.0005,1.0,2006,0,1545,369036,308,0.19935275080906148,71,0.3135646820711756,0.3179031801445373,0.288961038961039,0.3094018813823633
0.0005,1.0,2007,0,1545,377171,310,0.20064724919093851,66,0.3009989594172735,0.3162637548273618,0.24838709677419357,0.31622231165216225
0.0005,1.0,2008,0,1545,391998,339,0.21941747572815534,59,0.2844475770311779,0.3141572547162231,0.3215339233038348,0.32865335278434527
0.0005,1.0,2009,0,1545,408083,318,0.2058252427184466,61,0.30499189114354663,0.31476812031885737,0.2672955974842768,0.3421391082717105
0.0005,1.0,2010,0,1545,422817,303,0.19611650485436893,59,0.3294121491357056,0.3136427987548062,0.22442244224422447,0.35449217767493335
0.0005,1.0,2011,0,1545,431503,314,0.20323624595469256,60,0.30224349872205764,0.3134737922753481,0.2547770700636943,0.36177456947867936
0.0005,1.0,2012,0,1545,437834,312,0.20194174757281552,55,0.30440499671268906,0.3114717607900736,0.2596153846153846,0.3670825158877878
0.0005,1.0,2013,0,1545,444529,312,0.20194174757281552,68,0.30500082182774485,0.31102174579091185,0.27564102564102566,0.3726956419672351
0.0005,1.0,2014,0,1545,449927,313,0.20258899676375405,72,0.3044942788024781,0.3100523001699206,0.26517571884984026,0.3772213558696782
0.0005,1.0,2015,0,1545,448513,323,0.20906148867313915,66,0.2686022103154444,0.2677560350156186,0.30030959752321984,0.3760358502272079
0.0005,1.0,2016,0,1545,449503,333,0.21553398058252426,67,0.27345363381399435,0.26845457139341206,0.2582582582582582,0.3768658718580747
0.0005,1.0,2017,0,1545,460053,338,0.21877022653721684,67,0.28141521655404234,0.30920623856953183,0.3431952662721893,0.38571105186377586
0.0005,1.0,2018,0,1545,476935,336,0.2174757281553398,69,0.260735544217687,0.2757236899381417,0.3214285714285714,0.3998650166842732
0.0005,1.0,2019,0,1545,492664,325,0.21035598705501618,67,0.29567810650887577,0.3131590718844392,0.3353846153846154,0.41305229974680147
0.0005,1.0,2020,0,1545,506321,343,0.22200647249190938,67,0.28259483718518646,0.314216758306215,0.2886297376093294,0.42450240622432384
0.0005,1.0,2021,0,1545,518001,346,0.22394822006472492,82,0.25837816164923644,0.3179317585683599,0.2890173410404624,0.4342949846571759
0.0005,1.0,2022,0,1545,516061,342,0.22135922330097088,79,0.28073595294278575,0.3195404035010245,0.29239766081871343,0.4326684776229522
0.0005,1.0,2023,0,1545,525400,391,0.2530744336569579,88,0.24568782255479754,0.31994639696552035,0.3734015345268542,0.44049834834079515
0.001,0.005,1990,0,717,31671,463,0.6457461645746164,54,0.10254747654744854,0.20279766860186815,,0.12338421261775087
0.001,0.005,1991,0,713,33552,433,0.6072931276297335,54,0.13616265487575274,0.2175981877341979,0.22863741339491916,0.13218399861323415
0.001,0.005,1992,0,715,35431,460,0.6433566433566433,55,0.1234404536862004,0.21359325747657737,0.25,0.13880629174746822
