min_share,max_share,year,run,V_t,E_t,n_core,R_t,S_t,H_t,Q_cp,C_t
0.0,1.0,1996,2,13774,535092,3876,0.28139973863801365,1119,0.08556918231960645,0.4165652522915045,0.5652734778121775
0.0,1.0,1997,2,13990,548813,4042,0.2889206576125804,1339,0.08231530336709476,0.4170840125084951,0.5635823849579416
0.0,1.0,1998,2,14084,572367,4180,0.29679068446464074,1384,0.07724777363155604,0.41718942770041634,0.5641148325358851
0.0,1.0,1999,2,14465,616762,4243,0.29332872450743175,1394,0.07792030116676349,0.41878790161050805,0.5566815932123498
0.0,1.0,2000,2,15000,683122,4358,0.2905333333333333,1422,0.07835136638457842,0.4195563043953913,0.5571363010555301
0.0,1.0,2001,2,15252,725997,4532,0.2971413585103593,1524,0.07367195247447003,0.42020706468980323,0.5489849955869373
0.0,1.0,2002,2,15823,1036508,5257,0.3322378815648107,1579,0.052961007559365655,0.4359085941241923,0.5801788092067719
0.0,1.0,2003,2,16064,977125,5110,0.3181025896414343,1659,0.06084757641093593,0.43027045341307074,0.5093933463796477
0.0,1.0,2004,2,16228,1000259,5082,0.3131624352970175,1647,0.06431160219933431,0.4286764261815447,0.5153482880755609
0.0,1.0,2005,2,16469,1106209,5276,0.3203594632339547,1569,0.06091468885668779,0.4311800824772429,0.5130780894617134
0.0,1.0,2006,2,16779,1197019,5314,0.3167054055664819,1654,0.059489430706824095,0.4325736562517201,0.5077154685735792
0.0,1.0,2007,2,17059,1247769,5377,0.3152001875842664,1559,0.06077584255382921,0.4321814712912474,0.49730332899386276
0.0,1.0,2008,2,17229,1318524,5459,0.31684949793952055,1571,0.059984300358773675,0.43245643922172083,0.49954204066678876
0.0,1.0,2009,2,17423,1400948,5591,0.3208976640073466,1640,0.05768830703431727,0.43311824193344584,0.5038454659273832
0.0,1.0,2010,2,17478,1484113,5496,0.31445245451424647,1579,0.06092263210083713,0.4331640252024864,0.4854439592430859
0.0,1.0,2011,2,17612,1535196,5526,0.3137633431751079,1628,0.05958893495808122,0.433226212296302,0.4980094100615273
0.0,1.0,2012,2,17767,1567243,5725,0.3222265998761749,1714,0.057903975896722026,0.4332217041327688,0.49554585152838426
0.0,1.0,2013,2,17813,1594207,5711,0.3206085443215629,1622,0.058785662200521054,0.4335865455474425,0.4815268779548241
0.0,1.0,2014,2,17768,1613834,5615,0.3160175596578118,1628,0.06023190331837583,0.43360024811189,0.48192341941228856
0.0,1.0,2015,2,17773,1610502,5777,0.32504360546896977,1700,0.05888838493295131,0.4335380004445837,0.4843344296347585
0.0,1.0,2016,2,17782,1600252,5689,0.3199302665616916,1658,0.06053495718378043,0.43425592158553755,0.4767094392687643
0.0,1.0,2017,2,17775,1645430,5719,0.3217440225035162,1674,0.0579871361328862,0.4350514721622635,0.4845252666550096
0.0,1.0,2018,2,17944,1738169,5795,0.32294917521176997,1754,0.05577558232417491,0.4367653368384499,0.4950819672131147
0.0,1.0,2019,2,18065,1825458,5889,0.3259894824245779,1664,0.05348990281837357,0.4386389248211376,0.48802852776362715
0.0,1.0,2020,2,18242,1921388,5811,0.3185505975222015,1632,0.0550966113466763,0.43972994542364696,0.4713474445018069
0.0,1.0,2021,2,18118,1983661,5843,0.3224969643448504,1702,0.05283118665963264,0.4409554656504725,0.480403902105083
0.0,1.0,2022,2,18090,1954473,5960,0.3294637921503593,1777,0.05096234403855682,0.4419458085998993,0.48892617449664433
0.0,1.0,2023,2,18159,2009733,5920,0.32600914147254806,1797,0.05061039079620162,0.44296475794699736,0.4859797297297297
0.0,1.0,1990,3,12593,397239,3566,0.28317319145557057,1190,0.08816330716126533,0.41169057007866067,
0.0,1.0,1991,3,12657,417466,3578,0.28268942087382476,1144,0.08521315748279736,0.41326056286642593,0.5785354946897708
0.0,1.0,1992,3,12986,445814,3663,0.28207300169413213,1105,0.08612819505530397,0.41511039416580553,0.5749385749385749
0.0,1.0,1993,3,13079,461959,3797,0.2903127150393761,1234,0.0830487371029996,0.41489202568869354,0.5704503555438505
0.0,1.0,1994,3,13207,483525,3833,0.2902248807450594,1229,0.08325375994877172,0.41502084080418505,0.5590920949647795
0.0,1.0,1995,3,13617,503236,3770,0.27685980759344936,1230,0.0890630342857545,0.41570283156850546,0.5673740053050398
0.0,1.0,1996,3,13774,535092,4027,0.29236242195440687,1330,0.07817143642222787,0.4166714591846797,0.5776011919543085
0.0,1.0,1997,3,13990,548813,4142,0.29606862044317367,1357,0.07790482767593035,0.4171462866234646,0.5514244326412361
0.0,1.0,1998,3,14084,572367,4058,0.2881283726214144,1275,0.08263969873988332,0.41719343455167224,0.543371118777723
0.0,1.0,1999,3,14465,616762,4191,0.28973384030418253,1301,0.08057801423224517,0.41871759504465883,0.5566690527320448
0.0,1.0,2000,3,15000,683122,4206,0.2804,1377,0.08412455181997774,0.41957214945745935,0.5504041844983357
0.0,1.0,2001,3,15252,725997,4461,0.29248623131392604,1462,0.07673080518846721,0.4201554209019706,0.5552566689083165
0.0,1.0,2002,3,15823,1036508,5260,0.3324274789862858,1645,0.05301421156876637,0.4359116820992826,0.5804182509505704
0.0,1.0,2003,3,16064,977125,5075,0.3159238047808765,1570,0.06243408964061248,0.43027202104829937,0.5129064039408867
0.0,1.0,2004,3,16228,1000259,4971,0.3063224057185112,1550,0.06748127269322808,0.42869041806298297,0.515590424461879
